activity,project_key,Project,mail_actual,ground_actual,actual_delta_ground_minus_mail,comparison_status,mail_plan,ground_plan,plan_delta_ground_minus_mail,ground_wip,latest_dpr_date,latest_dpr_file
erection,TB 412,TB 412,32.0,35.0,3.0,mail lower than ground,45.0,45.0,0.0,6.0,2026-07-30,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TB 412 - DPR - 2026-07-30.xlsx
erection,TA 419,TA 419,18.0,20.0,2.0,mail lower than ground,40.0,40.0,0.0,10.0,2026-07-30,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TA 419 - DPR - 2026-07-30.xlsx
erection,TA 510,TA 510,2.0,2.0,0.0,matched,285.0,15.0,-270.0,1.0,2026-07-30,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TA 510 - DPR - 2026-07-30.xlsx
erection,TA 602,TA 602,11.0,11.0,0.0,matched,20.0,30.0,10.0,1.0,2026-07-29,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TA 602 - DPR - 2026-07-29.xlsx
erection,TB 408,TB 408,1.0,1.0,0.0,matched,1.0,1.0,0.0,,2026-07-30,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TB 408 - DPR - 2026-07-30.xlsx
erection,TB 608,TB 608,13.0,13.0,0.0,matched,20.0,12.0,-8.0,5.0,2026-07-26,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TB 608 - DPR - 2026-07-26.xlsm
erection,TA 504,TA 504,4.0,4.0,0.0,matched,6.0,2.0,-4.0,1.0,2026-07-28,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TA 504 - DPR - 2026-07-28.xlsx
erection,TA 505,TA 505,2.0,2.0,0.0,matched,6.0,6.0,0.0,1.0,2026-07-29,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TA 505 - DPR - 2026-07-29.xlsx
erection,TA 506,TA 506,13.0,13.0,0.0,matched,20.0,20.0,0.0,4.0,2026-07-28,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TA 506 - DPR - 2026-07-28.xlsx
erection,TA 414,TA 414,12.0,11.0,-1.0,mail higher than ground,30.0,40.0,10.0,4.0,2026-07-30,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TA 414 - DPR - 2026-07-30.xlsx
erection,TA 601,TA 601,29.0,28.0,-1.0,mail higher than ground,25.0,25.0,0.0,6.0,2026-07-30,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TA 601 - DPR - 2026-07-30.xlsx
erection,TA 509,TA 509,7.0,6.0,-1.0,mail higher than ground,15.0,30.0,15.0,2.0,2026-07-29,C:\Users\kaushikb\Documents\Work\Git\Office-work-\Raw Data\DPRs\TA 509 - DPR - 2026-07-29.xlsx
