activity,project_key,coverage,Project,ground_project_name,mail_plan,ground_plan,plan_delta_ground_minus_mail,mail_actual,ground_actual,actual_delta_ground_minus_mail,ground_wip,ground_pch
erection,TB 501,mail_only,TB 501,,5.0,,,1.0,,,,
stringing,TA 416,mail_only,TA 416,,4.0,,,0.68,,,,
stringing,TB 501,mail_only,TB 501,,5.81,,,3.57,,,,
erection,TA 513,ground_only,,TA513 Shivani- Patratu,,16.0,,,,,,Mr. Hitesh Bahri
erection,TB 609,ground_only,,Kutch - Jamnagar Line,,3.0,,,1.0,,1.0,Mr. Arun Felbin
erection,TB 610,ground_only,,HVDC Badla - Fathpur,,,,,1.0,,3.0,Mr. Hitesh Bahri
erection,TB 611,ground_only,,Morena PS (South of Sabalgarh) - Karera (near Datia) 765kV D/C line,,0.0,,,,,,Mr. Nabajit Barwa
stringing,TA 512,ground_only,,765 KV D/C Bikaner - Shivani line,,23.0,,,,,5.5,Mr. N K Gupta
stringing,TA 513,ground_only,,TA513 Shivani- Patratu,,0.0,,,,,,Mr. Hitesh Bahri
stringing,TA 601,ground_only,,Kurnool  - Bidhar part 2,,0.0,,,,,,Mr. Arun Felbin
stringing,TA 602,ground_only,,HVDC KPS2 - Nagpur TL06,,0.0,,,,,,Mr. Arun Felbin
stringing,TB 609,ground_only,,Kutch - Jamnagar Line,,0.0,,,,,,Mr. Arun Felbin
stringing,TB 611,ground_only,,Morena PS (South of Sabalgarh) - Karera (near Datia) 765kV D/C line,,0.0,,,,,,Mr. Nabajit Barwa
erection,TA 413,both,TA 413,765 KV D/C Bikaner Complex PART-A line,3.0,3.0,0.0,0.0,,,1.0,Mr. N K Gupta
erection,TA 414,both,TA 414,765kV  D/C Vataman - Navsari line,30.0,40.0,10.0,12.0,11.0,-1.0,4.0,Mr. Arun Felbin
erection,TA 419,both,TA 419,765 KV D/C Sikar - Narela Line,40.0,40.0,0.0,18.0,20.0,2.0,10.0,Mr. N K Gupta
erection,TA 504,both,TA 504,"765 KV D/C Rishabhdeo - Mansour Tr, Line",6.0,2.0,-4.0,4.0,4.0,0.0,1.0,Mr. Nabajit Barwa
erection,TA 505,both,TA 505,"765KV D/C Mandsour - Beawar Tr, Line",6.0,6.0,0.0,2.0,2.0,0.0,1.0,Mr. Nabajit Barwa
erection,TA 506,both,TA 506,"400 KV D/C Sirohi - Chittorgarh Tr, Line",20.0,20.0,0.0,13.0,13.0,0.0,4.0,Mr. Nabajit Barwa
erection,TA 509,both,TA 509,"765 KV D/C Mandsour - Kurawar Tr, Line",15.0,30.0,15.0,7.0,6.0,-1.0,2.0,Mr. Nabajit Barwa
