project_key,confirmed,confirmed_unknown_blank,erection_dated_count,first_complete,last_complete,source_files,source_sheets,undated_completed_rows,status_progress,status_plan,status_cum_last,status_cum,status_rows,status_report_date,status_files,status_sheets,activity_raw,Plan (Nos.),Actual Towers (Nos.),Total MT,Productivity,raw_rows,raw_min_complete,raw_max_complete,raw_files,diff_raw_minus_confirmed,diff_status_minus_confirmed,diff_mail_minus_confirmed
TA413,1,False,1.0,2026-06-19,2026-06-19,TA 413 - DPR - 2026-06-28.xlsx,Erection,,1.0,4.0,302.0,303.0,1.0,2026-06-28,TA 413 - DPR - 2026-06-28.xlsx,TA413_PBNTL,Tower Erection (Nos),4.0,1,67.26,3.74,342.0,1970-01-01,2026-06-19,TA 413 - DPR - 2026-06-28.xlsx,0.0,0.0,0
TA414,32,False,30.0,2026-06-01,2026-06-28,TA 414 - DPR - 2026-06-29.xlsx,Erection Compiled,,30.0,44.0,235.0,265.0,1.0,2026-06-29,TA 414 - DPR - 2026-06-29.xlsx,VNTL - KEC,Tower Erection (Nos),44.0,30,1913.92,4.59,353.0,2025-04-01,2026-06-28,TA 414 - DPR - 2026-06-29.xlsx,-2.0,-2.0,-2
TA416,0,True,,,,,,,0.0,0.0,302.0,302.0,1.0,2026-06-30,TA 416 - DPR - 2026-06-30.xlsx,MASTER SHEET,Erection,,,,,302.0,2024-09-16,2026-03-23,TA 416 - DPR - 2026-06-30.xlsx,0.0,0.0,0
TA418,0,True,,,,,,,0.0,0.0,127.0,127.0,1.0,2026-06-17,TA 418 - DPR - 2026-06-17.xlsx,MASTER SHEET,Tower Erection,,,,,127.0,2024-10-27,2026-04-09,TA 418 - DPR - 2026-06-17.xlsx,0.0,0.0,0
TA419,13,False,13.0,2026-06-01,2026-06-29,TA 419 - DPR - 2026-06-29.xlsx,ERECTION COMPILED,,13.0,50.0,207.0,220.0,1.0,2026-06-29,TA 419 - DPR - 2026-06-29.xlsx,DPR_TA419,Tower Erection (Nos),50.0,13,897.9,3.47,335.0,2024-11-27,2026-06-29,TA 419 - DPR - 2026-06-29.xlsx,0.0,0.0,0
TA421,0,True,,,,,,,18.0,30.0,238.0,256.0,1.0,2026-06-30,TA 421 - DPR - 2026-06-30.xlsx,Master Sheet,Tower Erection,30.0,18,,,256.0,2024-07-19,2025-10-30,TA 421 - DPR - 2026-06-30.xlsx,0.0,18.0,18
TA504,4,False,6.0,2026-06-11,2026-06-29,TA 504 - DPR - 2026-06-30.xlsx,Erection compiled; Tightening,,4.0,6.0,121.0,125.0,1.0,2026-06-30,TA 504 - DPR - 2026-06-30.xlsx,DPR_TA-504,TOWER ERECTION,6.0,6,259.61,4.3,248.0,2024-12-27,2026-06-29,TA 504 - DPR - 2026-06-30.xlsx,2.0,0.0,2
TA505,6,False,6.0,2026-06-02,2026-06-24,TA 505 - DPR - 2026-06-29.xlsx,Erection Compiled,,6.0,7.0,357.0,363.0,1.0,2026-06-29,TA 505 - DPR - 2026-06-29.xlsx,DPR-Summary,TOWER ERECTION,7.0,6,351.56,6.87,365.0,2025-01-19,2026-06-24,TA 505 - DPR - 2026-06-29.xlsx,0.0,0.0,0
TA506,17,False,32.0,2026-06-03,2026-06-27,TA 506 - DPR - 2026-06-30.xlsx,Erection compiled; Tightening,,16.0,25.0,405.0,421.0,1.0,2026-06-30,TA 506 - DPR - 2026-06-30.xlsx,DPR_TA-506,TOWER ERECTION,25.0,32,1260.41,6.0,738.0,2025-02-15,2026-06-27,TA 506 - DPR - 2026-06-30.xlsx,15.0,-1.0,15
TA509,13,False,11.0,2026-06-02,2026-06-27,TA 509 - DPR - 2026-06-29.xlsx,ERECTION,,11.0,30.0,208.0,219.0,1.0,2026-06-29,TA 509 - DPR - 2026-06-29.xlsx,SUMMARY,Erection (Loc),30.0,11,502.03,5.67,222.0,2025-09-03,2026-06-27,TA 509 - DPR - 2026-06-29.xlsx,-2.0,-2.0,-2
TA510,5,False,5.0,2026-06-04,2026-06-13,TA 510 - DPR - 2026-06-29.xlsx,Erection ,,5.0,30.0,40.0,45.0,1.0,2026-06-29,TA 510 - DPR - 2026-06-29.xlsx,AOTL - KEC,Tower Erection (Nos),30.0,5,290.52,7.43,46.0,2026-01-07,2026-06-13,TA 510 - DPR - 2026-06-29.xlsx,0.0,0.0,0
TA512,15,False,15.0,2026-06-03,2026-06-29,TA 512 - DPR - 2026-06-29.xlsx,Erection Compiled,,15.0,30.0,221.0,236.0,1.0,2026-06-29,TA 512 - DPR - 2026-06-29.xlsx,Summary E,Tower Erection (Nos),30.0,15,812.81,5.86,374.0,2025-08-10,2026-06-29,TA 512 - DPR - 2026-06-29.xlsx,0.0,0.0,0
TA513,4,False,4.0,2026-06-04,2026-06-22,TA 513 - DPR - 2026-06-29.xlsx,Ere S-P  ,,4.0,16.0,31.0,35.0,2.0,2026-06-22,TA 513 - DPR - 2026-06-22.xlsx,Summary,Tower Erection (Nos),16.0,4,180.0,6.84,48.0,2025-09-22,2026-06-22,TA 513 - DPR - 2026-06-29.xlsx,0.0,0.0,0
TA514,0,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0
TA515,0,True,,,,,,,,,,,,,,,,,,,,60.0,1970-01-01,2026-03-18,TA 515 - DPR - 2026-06-18.xlsx,0.0,0.0,0
TA601,16,False,17.0,2026-06-02,2026-06-30,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,,17.0,25.0,71.0,88.0,1.0,2026-06-30,TA 601 - DPR - 2026-06-30.xlsx,Master Sheet,Tower Erection,25.0,17,677.47,4.99,88.0,2025-03-23,2026-06-30,TA 601 - DPR - 2026-06-30.xlsx,1.0,1.0,1
TA602,25,False,26.0,2026-06-01,2026-06-26,TA 602 - DPR - 2026-06-26.xlsx,Erection ,,25.0,35.0,52.0,77.0,1.0,2026-06-26,TA 602 - DPR - 2026-06-26.xlsx,800kV HVDC TA-602,Tower Erection,35.0,26,678.39,5.02,80.0,2026-02-22,2026-06-26,TA 602 - DPR - 2026-06-26.xlsx,1.0,0.0,1
TB408,0,False,,,,,,,,1.0,484.0,484.0,1.0,2026-06-01,TB 408 - DPR - 2026-06-01.xlsx,Progress Summary,Tower Erection (Nos),1.0,0,,,489.0,2024-02-04,2026-05-24,TB 408 - DPR - 2026-06-01.xlsx,0.0,0.0,0
TB412,51,False,38.0,2026-06-01,2026-06-24,TB 412 - DPR - 2026-06-24.xlsx,WIP,,38.0,70.0,87.0,125.0,1.0,2026-06-24,TB 412 - DPR - 2026-06-24.xlsx,TB-412 SUMMARY,Tower Erection (Nos),70.0,38,511.24,2.28,132.0,2026-01-31,2026-06-24,TB 412 - DPR - 2026-06-24.xlsx,-13.0,-13.0,-13
TB501,2,False,2.0,2026-06-19,2026-06-23,TB 501 - DPR - 2026-06-30.xlsx,Progress-132kV,2.0,3.0,5.0,230.0,233.0,2.0,2026-06-30,TB 501 - DPR - 2026-06-30.xlsx,Summary,Tower Erection,5.0,3,28.64,2.4,496.0,1970-01-01,2026-06-23,TB 501 - DPR - 2026-06-30.xlsx,0.0,1.0,1
TB507,15,False,15.0,2026-06-03,2026-06-28,TB 507 - DPR - 2026-06-29.xlsx; TB 507 [MAIN] - DPR - 2026-06-29.xlsx,Erection Compiled ,,15.0,51.0,221.0,236.0,2.0,2026-06-29,TB 507 - DPR - 2026-06-29.xlsx; TB 507 [MAIN] - DPR - 2026-06-29.xlsx,400kV Summery; 765kV Summery,Tower Erection (Nos),51.0,15,308.07,1.89,244.0,2025-05-10,2026-06-28,TB 507 - DPR - 2026-06-29.xlsx; TB 507 [MAIN] - DPR - 2026-06-29.xlsx,0.0,0.0,0
