report_date,line_name,activity_raw,plan_for_month,progress_for_month,cumulative_last_month,cumulative_progress,source_file,source_sheet
2026-06-09,,TOWER ERECTION,6.0,,121.0,121.0,TA 504 - DPR - 2026-06-09.xlsx,DPR_TA-504
2026-06-10,,TOWER ERECTION,6.0,,121.0,121.0,TA 504 - DPR - 2026-06-10.xlsx,DPR_TA-504
2026-06-11,,TOWER ERECTION,6.0,,121.0,121.0,TA 504 - DPR - 2026-06-11.xlsx,DPR_TA-504
2026-06-13,,TOWER ERECTION,6.0,1.0,121.0,122.0,TA 504 - DPR - 2026-06-13.xlsx,DPR_TA-504
2026-06-16,,TOWER ERECTION,6.0,1.0,121.0,122.0,TA 504 - DPR - 2026-06-16.xlsx,DPR_TA-504
2026-06-17,,TOWER ERECTION,6.0,1.0,121.0,122.0,TA 504 - DPR - 2026-06-17.xlsx,DPR_TA-504
2026-06-18,,TOWER ERECTION,6.0,1.0,121.0,122.0,TA 504 - DPR - 2026-06-18.xlsx,DPR_TA-504
2026-06-19,,TOWER ERECTION,6.0,1.0,121.0,122.0,TA 504 - DPR - 2026-06-19.xlsx,DPR_TA-504
2026-06-22,,TOWER ERECTION,6.0,2.0,121.0,123.0,TA 504 - DPR - 2026-06-22.xlsx,DPR_TA-504
2026-06-23,,TOWER ERECTION,6.0,2.0,121.0,123.0,TA 504 - DPR - 2026-06-23.xlsx,DPR_TA-504
2026-06-24,,TOWER ERECTION,6.0,2.0,121.0,123.0,TA 504 - DPR - 2026-06-24.xlsx,DPR_TA-504
2026-06-25,,TOWER ERECTION,6.0,2.0,121.0,123.0,TA 504 - DPR - 2026-06-25.xlsx,DPR_TA-504
2026-06-26,,TOWER ERECTION,6.0,3.0,121.0,124.0,TA 504 - DPR - 2026-06-26.xlsx,DPR_TA-504
2026-06-27,,TOWER ERECTION,6.0,3.0,121.0,124.0,TA 504 - DPR - 2026-06-27.xlsx,DPR_TA-504
2026-06-30,,TOWER ERECTION,6.0,4.0,121.0,125.0,TA 504 - DPR - 2026-06-30.xlsx,DPR_TA-504
