project_key,complete_date,loc,Tower Type,Gang name,Status,Source File,Source Sheet,Line Name
TA601,2026-06-02,59/0,DC1+0,Nasiruddin,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-08,49/10,DA+0,Tofit Mia 2,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-12,49/8,DA+0,Tofit Mia 1,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-13,60/3,DA+6,Nasiruddin 1,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-16,51/10,DA+0,Nasiruddin 2,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-19,49/11,DA+0,Tofit Mia 1,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-19,67/1,DA+6,Shakila Khatun,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-20,56/5,DA+3,Nasiruddin 1,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-23,51/8,DA+0,Nasiruddin 2,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-23,65/3,DA+0,Shakila Khatun,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-25,50/2,DA+0,Tofit Mia 1,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-25,50/3,DA+3,Tofit Mia 2,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-26,69/2,DA+6,Masidur,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-28,56/10,DA+0,Nasiruddin 1,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-28,66/0,DB2+0,Shakila Khatun,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-28,70/1,DA+9,Anirul,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
TA601,2026-06-30,52/1,DA+9,Nasiruddin 2,Erection Completed.,TA 601 - DPR - 2026-06-30.xlsx,Erection Compiled,
