project_key,complete_date,loc,Tower Type,Gang name,Status,Source File,Source Sheet,Line Name
TB605,2026-06-02,136/4,DA+3,Vijay Bhagat 2,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-02,40/3,DB+3,Asc Infra Pvt Ltd,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection -Jammu,Jammu
TB605,2026-06-03,122/1,DA+3,Jirwa Devi,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-03,142/1,DA+0,Jwala Singh,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-03,22/2,DA+3,Kushboo Devi 2,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection -Jammu,Jammu
TB605,2026-06-03,AP30,DD+0,Anvi Construction,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection -SK,SK
TB605,2026-06-04,AP155,DD+0,Vijay Bhagat 1,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-04,AP66,DC+0,Saritha Devi,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-07,AP65,DB+0,Saritha Devi,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-08,AP131,DC+0,Vijay Bhagat 2,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-08,AP39,DB+0,Asc Infra Pvt Ltd,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection -Jammu,Jammu
TB605,2026-06-10,71/1,DA+3,Spilce Net,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-10,AP142,DD+0,Jwala Singh,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-10,AP21,DD+6,Kushboo Devi,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection -Jammu,Jammu
TB605,2026-06-11,65/1,DA+0,Saritha Devi,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-12,AP137,DC+3,Vercycle,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-13,39/1,DA+3,Asc Infra Pvt Ltd,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection -Jammu,Jammu
TB605,2026-06-13,64/1,DA+0,Saritha Devi,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-13,AP132,DC+9,Jirwa Devi,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-13,AP150,DC+0,Vijay Bhagat 1,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-13,AP29,DD-3,Anvi Construction,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection -SK,SK
TB605,2026-06-15,135/2,DA+3,Vercycle,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-15,AP82,DD+3,Lalman Mahato,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
TB605,2026-06-16,AP22,DC+3,Kushboo Devi,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection -Jammu,Jammu
TB605,2026-06-17,AP124,DB+9,Vijay Bhagat 2,Completed,TB 605 - DPR - 2026-06-30.xlsx,Erection-Punjab,Punjab
