report_date,line_name,activity_raw,plan_for_month,progress_for_month,cumulative_last_month,cumulative_progress,source_file,source_sheet
2026-06-07,,Erection,,,,,TB 608 - DPR - 2026-06-07.xlsm,DPR Sum.
2026-06-07,,Tower Erection - Loop Out,0.0,0.0,0.0,0.0,TB 608 - DPR - 2026-06-07.xlsm,DPR Sum.
2026-06-07,,Tower Erection - Main Line,20.0,1.0,31.0,32.0,TB 608 - DPR - 2026-06-07.xlsm,DPR Sum.
2026-06-07,,Tower Erection - loop In,0.0,0.0,0.0,0.0,TB 608 - DPR - 2026-06-07.xlsm,DPR Sum.
2026-06-09,,Erection,,,,,TB 608 - DPR - 2026-06-09.xlsm,DPR Sum.
2026-06-09,,Tower Erection - Loop Out,0.0,0.0,0.0,0.0,TB 608 - DPR - 2026-06-09.xlsm,DPR Sum.
2026-06-09,,Tower Erection - Main Line,20.0,2.0,31.0,33.0,TB 608 - DPR - 2026-06-09.xlsm,DPR Sum.
2026-06-09,,Tower Erection - loop In,0.0,0.0,0.0,0.0,TB 608 - DPR - 2026-06-09.xlsm,DPR Sum.
2026-06-10,,Erection,,,,,TB 608 - DPR - 2026-06-10.xlsm,DPR Sum.
2026-06-10,,Tower Erection - Loop Out,0.0,0.0,0.0,0.0,TB 608 - DPR - 2026-06-10.xlsm,DPR Sum.
2026-06-10,,Tower Erection - Main Line,20.0,2.0,31.0,33.0,TB 608 - DPR - 2026-06-10.xlsm,DPR Sum.
2026-06-10,,Tower Erection - loop In,0.0,0.0,0.0,0.0,TB 608 - DPR - 2026-06-10.xlsm,DPR Sum.
2026-06-12,,Erection,,,,,TB 608 - DPR - 2026-06-12.xlsm,DPR Sum.
2026-06-12,,Tower Erection - Loop Out,0.0,1.0,0.0,1.0,TB 608 - DPR - 2026-06-12.xlsm,DPR Sum.
2026-06-12,,Tower Erection - Main Line,20.0,2.0,31.0,33.0,TB 608 - DPR - 2026-06-12.xlsm,DPR Sum.
2026-06-12,,Tower Erection - loop In,0.0,0.0,0.0,0.0,TB 608 - DPR - 2026-06-12.xlsm,DPR Sum.
2026-06-14,,Erection,,,,,TB 608 - DPR - 2026-06-14.xlsm,DPR Sum.
2026-06-14,,Tower Erection - Loop Out,0.0,1.0,0.0,1.0,TB 608 - DPR - 2026-06-14.xlsm,DPR Sum.
2026-06-14,,Tower Erection - Main Line,20.0,4.0,31.0,35.0,TB 608 - DPR - 2026-06-14.xlsm,DPR Sum.
2026-06-14,,Tower Erection - loop In,0.0,0.0,0.0,0.0,TB 608 - DPR - 2026-06-14.xlsm,DPR Sum.
2026-06-17,,Erection,,,,,TB 608 - DPR - 2026-06-17.xlsm,DPR Sum.
2026-06-17,,Erection,,,,,TB 608 - DPR - 2026-06-17.xlsm,DPR Sum.
2026-06-17,,Tower Erection - Loop Out,0.0,1.0,0.0,1.0,TB 608 - DPR - 2026-06-17.xlsm,DPR Sum.
2026-06-17,,Tower Erection - Main Line,20.0,7.0,31.0,38.0,TB 608 - DPR - 2026-06-17.xlsm,DPR Sum.
2026-06-17,,Tower Erection - loop In,0.0,0.0,0.0,0.0,TB 608 - DPR - 2026-06-17.xlsm,DPR Sum.
2026-06-21,,Erection,,,,,TB 608 - DPR - 2026-06-21.xlsm,DPR Sum.
2026-06-21,,Erection,,,,,TB 608 - DPR - 2026-06-21.xlsm,DPR Sum.
2026-06-21,,Tower Erection - Loop Out,0.0,1.0,0.0,1.0,TB 608 - DPR - 2026-06-21.xlsm,DPR Sum.
2026-06-21,,Tower Erection - Main Line,20.0,8.0,31.0,39.0,TB 608 - DPR - 2026-06-21.xlsm,DPR Sum.
2026-06-21,,Tower Erection - loop In,0.0,0.0,0.0,0.0,TB 608 - DPR - 2026-06-21.xlsm,DPR Sum.
2026-06-28,,Erection,,,,,TB 608 - DPR - 2026-06-28.xlsm,DPR Sum.
2026-06-28,,Erection,,,,,TB 608 - DPR - 2026-06-28.xlsm,DPR Sum.
2026-06-28,,Tower Erection - Loop Out,0.0,1.0,0.0,1.0,TB 608 - DPR - 2026-06-28.xlsm,DPR Sum.
2026-06-28,,Tower Erection - Main Line,20.0,9.0,31.0,40.0,TB 608 - DPR - 2026-06-28.xlsm,DPR Sum.
2026-06-28,,Tower Erection - loop In,0.0,0.0,0.0,0.0,TB 608 - DPR - 2026-06-28.xlsm,DPR Sum.
