project_key,ref_scope,ref_completed_may,ref_plan,ref_actual,Scope (KM),Stringing Completed (KM),Plan (KM),Actual Achieved (KM),diff_Scope (KM),diff_Stringing Completed (KM),diff_Plan (KM),diff_Actual Achieved (KM)
TA413,118,77.0,22.0,10.0,117.85,87.24,21.51,10.05,-0.15000000000000568,10.239999999999995,-0.48999999999999844,0.05000000000000071
TA512,125,,,0.0,,,,,,,,
TB408,158,126.0,32.0,4.0,191.39,125.94,25.0,0.0,33.389999999999986,-0.060000000000002274,-7.0,-4.0
TB507,204,21.0,21.0,3.0,392.83,24.28,21.08,5.84,188.82999999999998,3.280000000000001,0.0799999999999983,2.84
TA419,122,0.0,15.0,2.0,122.07,2.55,,2.1,0.06999999999999318,2.55,,0.10000000000000009
TA513,230,0.0,,,,,,,,,,
TB610,224,,,,,,,,,,,
TB608,104,,,,,,,,,,,
TB412,151,,12.0,3.2,150.83,3.2,12.0,3.2,-0.1699999999999875,,0.0,0.0
TB605,173,0.0,12.0,1.0,351.44,2.94,23.26,2.94,178.44,2.94,11.260000000000002,1.94
TA414,128,16.0,20.0,9.0,127.8,25.05,20.0,9.1,-0.20000000000000284,9.05,0.0,0.09999999999999964
TA510,111,0.0,,,114.52,0.0,11.0,0.0,3.519999999999996,0.0,,
TA514,139,0.0,,,,,,,,,,
TA515,83,0.0,,,,,,,,,,
TA421,121,116.0,5.0,5.0,121.34,43.74,23.24,11.93,0.3400000000000034,-72.25999999999999,18.24,6.93
TA418,48,32.0,10.0,7.0,47.84,31.23,18.26,1.64,-0.1599999999999966,-0.7699999999999996,8.260000000000002,-5.36
TA601,113,,,,,,,,,,,
TB609,74,,,,,,,,,,,
TA416,115,111.0,4.0,4.0,115.13,114.46,4.0,3.32,0.12999999999999545,3.4599999999999937,0.0,-0.6800000000000002
TA602,186,0.0,,,,,,,,,,
TB501,72,64.0,5.0,,73.27,70.74,5.81,5.77,1.269999999999996,6.739999999999995,0.8099999999999996,
TA504,69,13.0,8.0,7.0,69.0,20.56,8.0,7.14,0.0,7.559999999999999,0.0,0.13999999999999968
TA505,139,16.0,25.0,12.0,139.6,27.01,23.01,11.54,0.5999999999999943,11.010000000000002,-1.9899999999999984,-0.46000000000000085
TA506,223,56.0,30.0,10.0,223.0,63.11,30.0,7.48,0.0,7.109999999999999,0.0,-2.5199999999999996
TA509,120,0.0,2.0,4.0,119.18,3.46,12.0,3.46,-0.8199999999999932,3.46,10.0,-0.54
TB611,86,,,,,,,,,,,
