project_key,ref_scope,ref_may,ref_plan,ref_actual,ref_completed_june_cum,Project,Scope (KM),Plan (KM),Actual Achieved (KM),Stringing Completed (KM),diff_Scope (KM),diff_Plan (KM),diff_Actual Achieved (KM),diff_Stringing Completed (KM)
TA413,118.0,77.0,22.0,10.05,87.05,TA 413,117.85,21.51,10.05,87.24,-0.15000000000000568,-0.48999999999999844,0.0,0.18999999999999773
TB408,157.56,126.0,32.0,4.4,130.4,TB 408,191.39,25.0,0.0,125.94,33.829999999999984,-7.0,-4.4,-4.460000000000008
TB507,203.98,21.0,21.0,3.35,24.35,TB 507,392.83,21.08,2.92,24.28,188.85,0.0799999999999983,-0.43000000000000016,-0.07000000000000028
TA419,122.0,0.0,15.0,2.46,2.46,TA 419,122.07,,2.1,2.55,0.06999999999999318,,-0.3599999999999999,0.08999999999999986
TB412,151.0,,12.0,3.2,,TB 412,150.83,12.0,3.2,3.2,-0.1699999999999875,0.0,0.0,
TB605,172.59,0.0,12.0,1.0,1.0,TB 605,351.44,23.26,2.94,2.94,178.85,11.260000000000002,1.94,1.94
TA414,128.0,16.0,20.0,9.0,25.0,TA 414,127.8,20.0,9.1,25.05,-0.20000000000000284,0.0,0.09999999999999964,0.05000000000000071
TA421,121.34,116.0,5.0,5.0,121.0,TA 421,121.34,23.24,11.93,43.74,0.0,18.24,6.93,-77.25999999999999
TA418,48.0,32.0,10.0,7.28,39.28,TA 418,47.84,18.26,1.64,31.23,-0.1599999999999966,8.260000000000002,-5.640000000000001,-8.05
TA416,115.0,111.0,4.0,3.6,114.6,TA 416,115.13,4.0,3.32,114.46,0.12999999999999545,0.0,-0.28000000000000025,-0.14000000000000057
TA504,69.0,13.42,8.0,7.12,20.54,TA 504,69.0,8.0,7.14,20.56,0.0,0.0,0.019999999999999574,0.019999999999999574
TA505,139.0,16.0,25.0,11.7,27.7,TA 505,139.6,23.01,11.54,27.01,0.5999999999999943,-1.9899999999999984,-0.16000000000000014,-0.6899999999999977
TA506,223.0,56.0,30.0,9.5,65.5,TA 506,223.0,30.0,7.48,63.11,0.0,0.0,-2.0199999999999996,-2.3900000000000006
TA509,120.0,0.0,1.5,4.0,4.0,TA 509,119.18,12.0,3.46,3.46,-0.8199999999999932,10.5,-0.54,-0.54
