Project,mail_key,project_key,Scope (KM),Stringing Completed (KM),Plan (KM),Actual Achieved (KM),Productivity,Stretch Ready (KM)
TA 414,TA414,TA414,127.8,25.05,20.0,9.1,2.39,
TA 416,TA416,TA416,115.13,114.46,4.0,3.32,3.49,
TA 418,TA418,TA418,47.84,31.23,18.26,1.64,2.27,
TA 421,TA421,TA421,121.34,43.74,23.24,11.93,,0.0
TA 510,TA510,TA510,114.52,0.0,11.0,0.0,,
TA 413,TA413,TA413,117.85,87.24,21.51,10.05,12.56,0.0
TA 419,TA419,TA419,122.07,2.55,,2.1,,0.0
TB 408,TB408,TB408,191.39,125.94,25.0,0.0,,0.0
TB 412,TB412,TB412,150.83,3.2,12.0,3.2,,
TB 507,TB507,TB507,392.83,24.28,21.08,2.92,,0.0
TB 605,TB605,TB605,351.44,2.94,23.26,2.94,,
TA 504,TA504,TA504,69.0,20.56,8.0,7.14,5.19,
TA 505,TA505,TA505,139.6,27.01,23.01,11.54,9.28,0.0
TA 506,TA506,TA506,223.0,63.11,30.0,7.48,7.31,
TA 509,TA509,TA509,119.18,3.46,12.0,3.46,,
TB 501,TB501,TB501,73.27,70.74,5.81,3.31,,
TB 501220KV,TB501220KV,TB501,,,,2.46,4.6,
TB 507MAIN,TB507MAIN,TB507,,,,2.92,4.38,
