project_key,ref_scope,ref_completed_may,ref_plan,ref_actual,ref_completed_calc,Project,Plan (KM),Actual Achieved (KM),Productivity,Scope (KM),Stringing Completed (KM),daily_rows,daily_total_km,daily_active_days,daily_first,daily_last,daily_projects,daily_productivity_calc,status_report_date,status_source_file,status_source_sheet,status_activity,status_scope,status_completed_may,status_plan,status_actual,status_completed,Stringing Sheet Names,Stringing Template Check,Status Sheet Names,Status Template Check,plan_gap,actual_gap,scope_gap,completed_gap,productivity_source
TA413,118.0,77.0,22.0,10.05,87.05,TA 413,21.51,10.05,12.56,117.85,87.24,60.0,10.0509,24.0,2026-06-05,2026-06-28,TA 413,12.563625000000002,2026-06-28,TA 413 - DPR - 2026-06-28.xlsx,TA413_PBNTL,Stringing (Km),117.850851,77.189,21.51,10.051,87.24,Stringing,Yes,TA413_PBNTL,Yes,-0.48999999999999844,0.0,-0.15000000000000568,0.18999999999999773,StringingDaily
TB408,157.56,126.0,32.0,4.4,130.4,TB 408,32.0,4.4,,157.56,130.4,,,,,,,,2026-06-01,TB 408 - DPR - 2026-06-01.xlsx,Progress Summary,"Final Sag 
(Kms)",191.392,125.9367,25.0,,125.9367,Stringing,Yes,Progress Summary,Yes,0.0,0.0,0.0,0.0,Missing detailed daily rows
TB507,203.98,21.0,21.0,3.35,24.35,TB 507,21.08,2.92,4.38,204.16,24.28,20.0,2.92,20.0,2026-06-10,2026-06-29,TB 507 - MAIN,4.38,2026-06-30,TB 507 [MAIN] - DPR - 2026-06-30.xlsx,400kV Summery,Final Sag (Kms),188.678,21.36,21.084,2.92,24.28,Stringing Compiled,,400kV Summery; 765kV Summery,Yes,0.0799999999999983,-0.43000000000000016,0.18000000000000682,-0.07000000000000028,StringingDaily
TA419,122.0,0.0,15.0,2.46,2.46,TA 419,,2.1,,122.07,2.55,,,,,,,,2026-06-29,TA 419 - DPR - 2026-06-29.xlsx,DPR_TA419,Stringing (Km),122.071,0.447,,2.099,2.546,,,DPR_TA419,Yes,,-0.3599999999999999,0.06999999999999318,0.08999999999999986,Missing detailed daily rows
TB412,151.0,,12.0,3.2,3.2,TB 412,12.0,3.2,,150.83,3.2,,,,,,,,2026-06-30,TB 412 - DPR - 2026-06-30.xlsx,TB-412 SUMMARY,Stringing (Km),150.833,0.0,12.0,3.199,3.199,,,TB-412 SUMMARY,Yes,0.0,0.0,-0.1699999999999875,0.0,Missing detailed daily rows
TB605,172.59,0.0,12.0,1.0,1.0,TB 605,11.63,1.47,,175.72,1.47,,,,,,,,2026-06-30,TB 605 - DPR - 2026-06-30.xlsx,TB-605,Stringing-F/S,175.719,,11.63,1.47,1.47,,,TB-605,Yes,-0.3699999999999992,0.47,3.1299999999999955,0.47,Missing detailed daily rows
TA414,128.0,16.0,20.0,9.0,25.0,TA 414,20.0,9.1,2.39,127.8,25.05,4.0,0.31919624242424244,4.0,2026-06-01,2026-06-04,TA 414,2.3939718181818184,2026-06-29,TA 414 - DPR - 2026-06-29.xlsx,VNTL - KEC,Stringing (Km),127.799,15.944,20.0,9.102224,25.046224,Stringing Compiled,,VNTL - KEC,Yes,0.0,0.09999999999999964,-0.20000000000000284,0.05000000000000071,StringingDaily
TA421,121.34,116.0,5.0,5.0,121.0,TA 421,5.88,4.4,,121.34,119.87,,,,,,,,2026-06-30,TA 421 - DPR - 2026-06-30.xlsx,Master Sheet,Stringing -F/S,121.342,31.816,23.239,11.927,43.74299999999999,Stringing Compiled,,Master Sheet,Yes,0.8799999999999999,-0.5999999999999996,0.0,-1.1299999999999955,Missing detailed daily rows
TA418,48.0,32.0,10.0,7.28,39.28,TA 418,10.0,7.28,6.06,48.0,39.28,97.0,5.658384829801777,28.0,2026-06-01,2026-06-28,TA 418,6.062555174787619,2026-06-28,TA 418 - DPR - 2026-06-28.xlsx,MASTER SHEET,Stringing - RS,47.84,29.582,18.258,7.283,36.865,Stringing Completed,,MASTER SHEET,Yes,0.0,0.0,0.0,0.0,StringingDaily
TA416,115.0,111.0,4.0,3.6,114.6,TA 416,4.0,3.32,3.49,115.13,114.46,90.0,2.9081427998959146,25.0,2026-06-01,2026-06-25,TA 416,3.4897713598750975,2026-06-30,TA 416 - DPR - 2026-06-30.xlsx,MASTER SHEET,Stringing,115.134,111.1,4.0,3.319,114.458,Stringing compiled,,MASTER SHEET,Yes,0.0,-0.28000000000000025,0.12999999999999545,-0.14000000000000057,StringingDaily
TA504,69.0,13.42,8.0,7.12,20.54,TA 504,8.0,7.14,5.19,69.0,20.56,55.0,3.2876783359447,19.0,2026-06-01,2026-06-19,TA 504,5.191071056754789,2026-06-30,TA 504 - DPR - 2026-06-30.xlsx,DPR_TA-504,Stringing,69.0,13.422,8.0,7.14,20.562,Stringing Compiled,,DPR_TA-504,Yes,0.0,0.019999999999999574,0.0,0.019999999999999574,StringingDaily
TA505,139.0,16.0,25.0,11.7,27.7,TA 505,23.01,11.54,9.28,139.6,27.01,60.0,9.279736842105264,30.0,2026-06-01,2026-06-30,TA 505,9.279736842105264,2026-06-30,TA 505 - DPR - 2026-06-30.xlsx,DPR-Summary,Stringing (Final Sag),139.6,15.462,23.008,11.545,27.007,Stringing Compiled,,DPR-Summary,Yes,-1.9899999999999984,-0.16000000000000014,0.5999999999999943,-0.6899999999999977,StringingDaily
