project_code,project_display,project_scope_key,line_name,report_date,month,section_label,activity_raw,activity_norm,activity_group,core_activity,quantity_primary,cumulative_last_month,plan_for_month,progress_for_month,today_progress,cumulative_progress,balance_progress,gangs_working,remarks,source_file,source_sheet,configured_sheet,template_sheet,stringing_resolution_policy,project_key
TA 418,TA 418,ta418,,2026-06-08,2026-06-01,Progress Status,Stringing - RS,stringing,Stringing,True,47.84,29.582,18.258,1.3677,0.27649,30.9497,16.8903,3,*Work Front Required for Hotline Gang,TA 418 - DPR - 2026-06-08.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,,TA418
TA 418,TA 418,ta418,,2026-06-10,2026-06-01,Progress Status,Stringing - RS,stringing,Stringing,True,47.84,29.582,18.258,1.64419,0.0,31.22619,16.61381,4,*Work Front Required for Hotline Gang,TA 418 - DPR - 2026-06-10.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,,TA418
TA 418,TA 418,ta418,,2026-06-11,2026-06-01,Progress Status,Stringing - RS,stringing,Stringing,True,47.84,29.582,18.258,1.64419,1.83669,31.22619,16.61381,4,*Work Front Required for Hotline Gang,TA 418 - DPR - 2026-06-11.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,,TA418
TA 418,TA 418,ta418,,2026-06-13,2026-06-01,Progress Status,Stringing - RS,stringing,Stringing,True,47.84,29.582,18.258,1.64419,2.09531,31.22619,16.61381,4,*Work Front Required for Hotline Gang,TA 418 - DPR - 2026-06-13.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,,TA418
TA 418,TA 418,ta418,,2026-06-14,2026-06-01,Progress Status,Stringing - RS,stringing,Stringing,True,47.84,29.582,18.258,1.64419,2.09531,31.22619,16.61381,4,*Work Front Required for Hotline Gang,TA 418 - DPR - 2026-06-14.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,,TA418
TA 418,TA 418,ta418,,2026-06-15,2026-06-01,Progress Status,Stringing - RS,stringing,Stringing,True,47.84,29.582,18.258,1.64419,2.09531,31.22619,16.61381,4,*Work Front Required for Hotline Gang,TA 418 - DPR - 2026-06-15.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,,TA418
TA 418,TA 418,ta418,,2026-06-16,2026-06-01,Progress Status,Stringing - RS,stringing,Stringing,True,47.84,29.582,18.258,1.64419,2.09531,31.22619,16.61381,4,*Work Front Required for Hotline Gang,TA 418 - DPR - 2026-06-16.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,,TA418
TA 418,TA 418,ta418,,2026-06-17,2026-06-01,Progress Status,Stringing - RS,stringing,Stringing,True,47.84,29.582,18.258,1.64419,3.63112,31.22619,16.61381,5,,TA 418 - DPR - 2026-06-17.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,,TA418
TA 421,TA 421,ta421,,2026-06-07,2026-06-01,Progress Status,Stringing -F/S,stringing,Stringing,True,121.342,115.467,5.878,,,115.467,5.875,,43A/1-43B/0 - Rough sag done  & 33/0- 34/0,TA 421 - DPR - 2026-06-07.xlsx,Master Sheet,Master Sheet,TA 421 Status,prefer_final_else_stringing,TA421
TA 421,TA 421,ta421,,2026-06-10,2026-06-01,Progress Status,Stringing -F/S,stringing,Stringing,True,121.342,115.467,5.878,0.6779999999999999,,116.145,5.197000000000003,1.0,WIP - 33/0- 34/0,TA 421 - DPR - 2026-06-10.xlsx,Master Sheet,Master Sheet,TA 421 Status,prefer_final_else_stringing,TA421
