project_key,project_code,line_name,section_label,report_date,source_file,source_sheet,configured_sheet,template_sheet,header_row_number,source_row_number,activity_raw,activity_norm,quantity_loa,quantity_estimated_or_total,quantity_primary,cumulative_last_month,plan_for_month,progress_for_month,today_progress,cumulative_progress,balance_progress,gangs_working,remarks
TA418,TA 418,,Progress Status,2026-06-08,TA 418 - DPR - 2026-06-08.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,19,23,Stringing - RS,stringing,,47.84,47.84,29.582,18.258,1.3677,0.27649,30.9497,16.8903,3,*Work Front Required for Hotline Gang
TA418,TA 418,,Progress Status,2026-06-10,TA 418 - DPR - 2026-06-10.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,19,23,Stringing - RS,stringing,,47.84,47.84,29.582,18.258,1.64419,0.0,31.22619,16.61381,4,*Work Front Required for Hotline Gang
TA418,TA 418,,Progress Status,2026-06-11,TA 418 - DPR - 2026-06-11.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,19,23,Stringing - RS,stringing,,47.84,47.84,29.582,18.258,1.64419,1.83669,31.22619,16.61381,4,*Work Front Required for Hotline Gang
TA418,TA 418,,Progress Status,2026-06-13,TA 418 - DPR - 2026-06-13.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,19,23,Stringing - RS,stringing,,47.84,47.84,29.582,18.258,1.64419,2.09531,31.22619,16.61381,4,*Work Front Required for Hotline Gang
TA418,TA 418,,Progress Status,2026-06-14,TA 418 - DPR - 2026-06-14.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,19,23,Stringing - RS,stringing,,47.84,47.84,29.582,18.258,1.64419,2.09531,31.22619,16.61381,4,*Work Front Required for Hotline Gang
TA418,TA 418,,Progress Status,2026-06-15,TA 418 - DPR - 2026-06-15.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,19,23,Stringing - RS,stringing,,47.84,47.84,29.582,18.258,1.64419,2.09531,31.22619,16.61381,4,*Work Front Required for Hotline Gang
TA418,TA 418,,Progress Status,2026-06-16,TA 418 - DPR - 2026-06-16.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,19,23,Stringing - RS,stringing,,47.84,47.84,29.582,18.258,1.64419,2.09531,31.22619,16.61381,4,*Work Front Required for Hotline Gang
TA418,TA 418,,Progress Status,2026-06-17,TA 418 - DPR - 2026-06-17.xlsx,MASTER SHEET,MASTER SHEET,TA 418 Status,19,23,Stringing - RS,stringing,,47.84,47.84,29.582,18.258,1.64419,3.63112,31.22619,16.61381,5,
TA421,TA 421,,Progress Status,2026-06-07,TA 421 - DPR - 2026-06-07.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,24,Stringing -R/S,stringing,,121.342,121.342,116.433,4.912,1.814,,118.247,3.094999999999985,3.0,34/0- 34/1 - Payingout under progress  + 34/1 -  34/2 - Payingout under progress + 43A/0 - 43A/1 - Insulator hosting done
TA421,TA 421,,Progress Status,2026-06-07,TA 421 - DPR - 2026-06-07.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,25,Stringing -F/S,stringing,,121.342,121.342,115.467,5.878,,,115.467,5.875,,43A/1-43B/0 - Rough sag done  & 33/0- 34/0
TA421,TA 421,,Progress Status,2026-06-07,TA 421 - DPR - 2026-06-07.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,26,OPGW,opgw_stringing,,121.342,121.342,97.672,23.67,,,97.672,23.67,,
TA421,TA 421,,Progress Status,2026-06-10,TA 421 - DPR - 2026-06-10.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,24,Stringing -R/S,stringing,,121.342,121.342,116.433,4.912,2.492,,118.925,2.416999999999987,2.0,43A/0 - 43A/1 - Insulator hosting done  & 43B/0 -44/0 - WIP
TA421,TA 421,,Progress Status,2026-06-10,TA 421 - DPR - 2026-06-10.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,25,Stringing -F/S,stringing,,121.342,121.342,115.467,5.878,0.6779999999999999,,116.145,5.197000000000003,1.0,WIP - 33/0- 34/0
TA421,TA 421,,Progress Status,2026-06-10,TA 421 - DPR - 2026-06-10.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,26,OPGW,opgw_stringing,,121.342,121.342,97.672,23.67,,,97.672,23.67,,
TA421,TA 421,,Progress Status,2026-06-11,TA 421 - DPR - 2026-06-11.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,24,Stringing -R/S,stringing,,121.342,121.342,116.433,4.912,2.492,,118.925,2.416999999999987,1.0,43A/0 - 43A/1 - Conductor paying out under progress   & 43B/0 -44/0 - WIP
TA421,TA 421,,Progress Status,2026-06-11,TA 421 - DPR - 2026-06-11.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,25,Stringing -F/S,stringing,,121.342,121.342,115.467,5.878,0.6779999999999999,,116.145,5.197000000000003,1.0,WIP - 33/0- 34/0
