base_key,project_code,line_name,report_date,activity_raw,quantity_primary,cumulative_last_month,plan_for_month,progress_for_month,cumulative_progress,balance_progress,source_file,source_sheet
TA413,TA 413,,2026-06-28,Stringing (Km),117.850851,77.189,21.51,10.051,87.24,30.610851,TA 413 - DPR - 2026-06-28.xlsx,TA413_PBNTL
TA414,TA 414,,2026-06-29,Stringing (Km),127.799,15.944,20.0,9.102224,25.046224,102.752776,TA 414 - DPR - 2026-06-29.xlsx,VNTL - KEC
TA416,TA 416,,2026-06-30,Stringing,115.134,111.1,4.0,3.319,114.458,0.6760000000000019,TA 416 - DPR - 2026-06-30.xlsx,MASTER SHEET
TA418,TA 418,,2026-06-17,Stringing - RS,47.84,29.582,18.258,1.64419,31.22619,16.61381,TA 418 - DPR - 2026-06-17.xlsx,MASTER SHEET
TA419,TA 419,,2026-06-29,Stringing (Km),122.071,0.447,,2.099,2.546,119.525,TA 419 - DPR - 2026-06-29.xlsx,DPR_TA419
TA421,TA 421,,2026-06-30,Stringing -F/S,121.342,31.816,23.239,11.927,43.74299999999999,77.599,TA 421 - DPR - 2026-06-30.xlsx,Master Sheet
TA504,TA 504,,2026-06-30,Stringing,69.0,13.422,8.0,7.14,20.562,55.578,TA 504 - DPR - 2026-06-30.xlsx,DPR_TA-504
TA505,TA 505,,2026-06-30,Stringing (Final Sag),139.6,15.462,23.008,11.545,27.007,124.138,TA 505 - DPR - 2026-06-30.xlsx,DPR-Summary
TA506,TA 506,,2026-06-30,Stringing,223.0,55.632,30.0,7.478,63.11,167.368,TA 506 - DPR - 2026-06-30.xlsx,DPR_TA-506
TA509,TA 509,,2026-06-29,Stringing (Km),119.178,0.0,12.0,3.461,3.461,115.717,TA 509 - DPR - 2026-06-29.xlsx,SUMMARY
TA510,TA 510,,2026-06-29,Final Sag,114.516,0.0,11.0,,0.0,114.516,TA 510 - DPR - 2026-06-29.xlsx,AOTL - KEC
TA512,TA 512,,2026-06-30,Final Sag,124.568,0.0,,0.0,0.0,124.568,TA 512 - DPR - 2026-06-30.xlsx,Summary E
TA513,TA 513,,2026-06-22,Stringing (Km),147.584,0.0,,,,147.584,TA 513 - DPR - 2026-06-22.xlsx,Summary
TA513,TA 513,,2026-06-22,Stringing (Km),82.803,,,,,82.803,TA 513 - DPR - 2026-06-22.xlsx,Summary
TA601,TA 601,,2026-06-30,Stringing -R/S,113.286,0.0,0.0,0.0,0.0,113.286,TA 601 - DPR - 2026-06-30.xlsx,Master Sheet
TA601,TA 601,,2026-06-30,Stringing -F/S,113.286,0.0,0.0,0.0,0.0,113.286,TA 601 - DPR - 2026-06-30.xlsx,Master Sheet
TA602,TA 602,,2026-06-30,Stringing(Km),184.986,0.0,0.0,0.0,0.0,184.986,TA 602 - DPR - 2026-06-30.xlsx,800kV HVDC TA-602
TB408,TB 408,,2026-06-01,"Final Sag 
(Kms)",191.392,125.9367,25.0,,125.9367,31.6893,TB 408 - DPR - 2026-06-01.xlsx,Progress Summary
TB412,TB 412,,2026-06-30,Stringing (Km),150.833,0.0,12.0,3.199,3.199,147.285,TB 412 - DPR - 2026-06-30.xlsx,TB-412 SUMMARY
TB501,TB 501,132kV,2026-06-30,Final Sag,9.24,6.231,3.009,0.4839259999999994,6.714925999999999,2.525074000000001,TB 501 - DPR - 2026-06-30.xlsx,Summary
TB501,TB 501,220kV,2026-06-30,Final Sag,64.03,61.2,2.799999999999997,2.825100999999989,64.02510099999999,0.004899000000008868,TB 501 - DPR - 2026-06-30.xlsx,Summary
TB507,TB 507,400kV,2026-06-29,Stringing (Kms),,,,,,,TB 507 [MAIN] - DPR - 2026-06-29.xlsx,400kV Summery
TB507,TB 507,400kV,2026-06-29,Final Sag (Kms),188.678,21.36,21.084,2.92,24.28,164.398,TB 507 [MAIN] - DPR - 2026-06-29.xlsx,400kV Summery
TB507,TB 507,400kV,2026-06-29,Final Sag (Kms),188.678,,,,0.0,188.678,TB 507 [MAIN] - DPR - 2026-06-29.xlsx,400kV Summery
TB507,TB 507,765kV,2026-06-29,Stringing (Kms),,,,,,0.0,TB 507 - DPR - 2026-06-29.xlsx,765kV Summery
TB507,TB 507,765kV,2026-06-29,Final Sag (Kms),15.478,0.0,,,0.0,15.478,TB 507 - DPR - 2026-06-29.xlsx,765kV Summery
TB605,TB 605,,2026-06-30,Stringing-P/O-R/S,175.719,0.0,11.63,1.47,1.47,174.249,TB 605 - DPR - 2026-06-30.xlsx,TB-605
TB605,TB 605,,2026-06-30,Stringing-F/S,175.719,,11.63,1.47,1.47,174.249,TB 605 - DPR - 2026-06-30.xlsx,TB-605
TB608,TB 608,,2026-06-28,Final Sag - Main Line,87.90790000000005,0.0,0.0,0.0,0.0,87.90790000000005,TB 608 - DPR - 2026-06-28.xlsm,DPR Sum.
TB608,TB 608,,2026-06-28,Final Sag - Loop In,8.0518,0.0,0.0,0.0,0.0,8.0518,TB 608 - DPR - 2026-06-28.xlsm,DPR Sum.
TB608,TB 608,,2026-06-28,Final Sag - Loop Out,8.013399999999999,0.0,0.0,0.0,0.0,8.013399999999999,TB 608 - DPR - 2026-06-28.xlsm,DPR Sum.
