project_code,project_display,project_scope_key,line_name,source_file,source_sheet,source_row_number,from_ap,to_ap,stretch_identifier,length_km,required_location_count,erected_location_count,tightened_location_count,missing_erection_count,missing_tightening_count,required_locations,erected_locations,tightened_locations,missing_erection_locations,missing_tightening_locations,location_parse_status,location_parse_issue,already_strung,all_erected,all_tightened,ready_to_string,readiness_reason,section_readiness,status,status__2,po_completion_date,fs_complete_date,__location_nos_raw,sheet_completed,sheet_ready_pending,length_km_sheet
TA 418,TA 418,ta418,,TA 418 - DPR - 2026-05-30.xlsx,Stringing Completed,297,36/1,37/0,36/1 - 37/0,0.29732,2,2,2,0,0,"36/1, 37/0","36/1, 37/0","36/1, 37/0",,,OK,,True,True,True,False,ALREADY_STRUNG,Ready,wip,,2026-05-29,2026-05-29,"36/1, 37/0",False,True,0.29732
TA 418,TA 418,ta418,,TA 418 - DPR - 2026-05-30.xlsx,Stringing Completed,299,AP38,AP39,AP38 - AP39,1.30076,6,4,4,2,2,"38, 39, 38/0, 38/1, 38/2, 39/0","38/0, 38/1, 38/2, 39/0","38/0, 38/1, 38/2, 39/0","38, 39","38, 39",OK,,True,False,False,False,ALREADY_STRUNG,Ready,wip,,2026-05-26,,"38/0, 38/1, 38/2, 39/0",False,True,1.30076
TA 418,TA 418,ta418,,TA 418 - DPR - 2026-05-30.xlsx,Stringing Completed,310,AP47/0,AP48,AP47/0 - AP48,0.81345,4,3,3,1,1,"47/0, 48, 47/1, 48/0","47/0, 47/1, 48/0","47/0, 47/1, 48/0",48,48,OK,,False,False,False,False,ERECTION_NOT_COMPLETE,Ready,,,,,"47/0,47/1,48/0",False,True,0.81345
TA 418,TA 418,ta418,,TA 418 - DPR - 2026-05-30.xlsx,Stringing Completed,311,AP48,48A/0,AP48 - 48A/0,1.2570599999999998,5,4,4,1,1,"48, 48A/0, 48/0, 48/1, 48/2","48A/0, 48/0, 48/1, 48/2","48A/0, 48/0, 48/1, 48/2",48,48,OK,,False,False,False,False,ERECTION_NOT_COMPLETE,Ready,,,,,"48/0,48/1,48/2,48A/0",False,True,1.2570599999999998
TA 418,TA 418,ta418,,TA 418 - DPR - 2026-05-30.xlsx,Stringing Completed,313,49/0,AP50,49/0 - AP50,0.41722000000000004,3,2,2,1,1,"49/0, 50, 50/0","49/0, 50/0","49/0, 50/0",50,50,OK,,False,False,False,False,ERECTION_NOT_COMPLETE,Ready,,,,,"49/0,50/0",False,True,0.41722000000000004
TA 418,TA 418,ta418,,TA 418 - DPR - 2026-05-30.xlsx,Stringing Completed,314,AP50,AP51,AP50 - AP51,0.2496,4,2,2,2,2,"50, 51, 50/0, 51/0","50/0, 51/0","50/0, 51/0","50, 51","50, 51",OK,,False,False,False,False,ERECTION_NOT_COMPLETE,Ready,,,,,"50/0,51/0",False,True,0.2496
TA 418,TA 418,ta418,,TA 418 - DPR - 2026-05-30.xlsx,Stringing Completed,315,AP51,AP52,AP51 - AP52,0.3336,4,2,2,2,2,"51, 52, 51/0, 52/0","51/0, 52/0","51/0, 52/0","51, 52","51, 52",OK,,False,False,False,False,ERECTION_NOT_COMPLETE,Ready,,,,,"51/0,52/0",False,True,0.3336
TA 418,TA 418,ta418,,TA 418 - DPR - 2026-05-30.xlsx,Stringing Completed,316,AP52,AP53,AP52 - AP53,1.0341,6,4,4,2,2,"52, 53, 52/0, 52/1, 52/2, 53/0","52/0, 52/1, 52/2, 53/0","52/0, 52/1, 52/2, 53/0","52, 53","52, 53",OK,,False,False,False,False,ERECTION_NOT_COMPLETE,Ready,,,,,"52/0,52/1,52/2,53/0",False,True,1.0341
TA 418,TA 418,ta418,,TA 418 - DPR - 2026-05-30.xlsx,Stringing Completed,317,AP53,AP54,AP53 - AP54,0.25862,4,2,2,2,2,"53, 54, 53/0, 54/0","53/0, 54/0","53/0, 54/0","53, 54","53, 54",OK,,False,False,False,False,ERECTION_NOT_COMPLETE,Ready,,,,,"53/0,54/0",False,True,0.25862
TA 418,TA 418,ta418,,TA 418 - DPR - 2026-05-30.xlsx,Stringing Completed,318,AP54,AP55,AP54 - AP55,1.8366900000000002,8,6,6,2,2,"54, 55, 54/0, 54/1, 54/2, 54/3, 54/4, 55/0","54/0, 54/1, 54/2, 54/3, 54/4, 55/0","54/0, 54/1, 54/2, 54/3, 54/4, 55/0","54, 55","54, 55",OK,,False,False,False,False,ERECTION_NOT_COMPLETE,Ready,,,,,"54/0,54/1,54/2,54/3,54/4,55/0",False,True,1.8366900000000002
