Project,Location,Foundation Date,Classification,Likely Reason,Suggested Action,Raw Rows (same proj+loc),Raw Rows With Start Date,Raw Min Start Date,Raw Location Variants,Raw Line Variants,Daily Rows (same proj+loc),Daily Rows With Start Date,Daily Min Start Date,Daily Line Variants,Project DPR File (latest)
TA 413,16/0,,A_TRUE_MISSING_IN_ERECTION_RAW,Location absent in raw erection DPR parsed data,Treat as true missing erection start unless location exists in source DPR under different code/token,0,0,,,,0,0,,,TA 413 - DPR - 2026-05-19.xlsx
TA 413,3/4,,A_TRUE_MISSING_IN_ERECTION_RAW,Location absent in raw erection DPR parsed data,Treat as true missing erection start unless location exists in source DPR under different code/token,0,0,,,,0,0,,,TA 413 - DPR - 2026-05-19.xlsx
TA 413,3/6,,A_TRUE_MISSING_IN_ERECTION_RAW,Location absent in raw erection DPR parsed data,Treat as true missing erection start unless location exists in source DPR under different code/token,0,0,,,,0,0,,,TA 413 - DPR - 2026-05-19.xlsx
TA 413,3/7,,A_TRUE_MISSING_IN_ERECTION_RAW,Location absent in raw erection DPR parsed data,Treat as true missing erection start unless location exists in source DPR under different code/token,0,0,,,,0,0,,,TA 413 - DPR - 2026-05-19.xlsx
TA 413,3/8,,A_TRUE_MISSING_IN_ERECTION_RAW,Location absent in raw erection DPR parsed data,Treat as true missing erection start unless location exists in source DPR under different code/token,0,0,,,,0,0,,,TA 413 - DPR - 2026-05-19.xlsx
TA 413,3/9,,A_TRUE_MISSING_IN_ERECTION_RAW,Location absent in raw erection DPR parsed data,Treat as true missing erection start unless location exists in source DPR under different code/token,0,0,,,,0,0,,,TA 413 - DPR - 2026-05-19.xlsx
TA 413,36B/0,,A_TRUE_MISSING_IN_ERECTION_RAW,Location absent in raw erection DPR parsed data,Treat as true missing erection start unless location exists in source DPR under different code/token,0,0,,,,0,0,,,TA 413 - DPR - 2026-05-19.xlsx
TA 413,37/0,,A_TRUE_MISSING_IN_ERECTION_RAW,Location absent in raw erection DPR parsed data,Treat as true missing erection start unless location exists in source DPR under different code/token,0,0,,,,0,0,,,TA 413 - DPR - 2026-05-19.xlsx
TA 413,37/1,,A_TRUE_MISSING_IN_ERECTION_RAW,Location absent in raw erection DPR parsed data,Treat as true missing erection start unless location exists in source DPR under different code/token,0,0,,,,0,0,,,TA 413 - DPR - 2026-05-19.xlsx
TA 413,N'37/0,,A_TRUE_MISSING_IN_ERECTION_RAW,Location absent in raw erection DPR parsed data,Treat as true missing erection start unless location exists in source DPR under different code/token,0,0,,,,0,0,,,TA 413 - DPR - 2026-05-19.xlsx
