Project,Rows,Readiness values,Has readiness values,Sheet Ready pending km,Tower Ready km,Diff Tower-Sheet km,Tower ready but sheet not Ready km,Sheet Ready but tower not ready km,Tower ready not sheet spans,Sheet ready not tower spans,No loc km,No loc in discrepancy km
TA 413,33,(blank):33,False,0.0,5.799880999999999,5.799880999999999,5.799880999999999,0.0,4,0,82.98911700000001,5.799880999999999
TA 414,172,Complete:16; Not Ready:113; Ready:37; WIP:6,True,30.701085,41.0073485,10.3062635,11.449025500000001,1.1427619999999998,11,1,34.3822929,1.7044700000000002
TA 416,75,(blank):1; Ready:74,True,2.4785000000000004,2.4785000000000004,0.0,0.0,0.0,0,0,0.113697745,0.0
TA 418,40,(blank):1; Pending:4; Ready:35,True,10.15009,3.24695,-6.9031400000000005,0.0,6.90314,0,9,0.047836514999999996,0.0
TA 421,61,(blank):1; Ready:60,True,5.159689999999999,4.48169,-0.677999999999999,0.0,0.6779999999999999,0,2,43.743,0.0
TA 504,53,(blank):37; Ready:16,True,10.676271,10.676271,0.0,0.0,0.0,0,0,0.0,0.0
TA 505,13,(blank):1; Ready:12,True,8.164,8.164,0.0,0.0,0.0,0,0,23.4234,0.0
TA 506,37,(blank):1; Ready:36,True,2.040002,2.040002,0.0,0.0,0.0,0,0,58.73604636900001,0.0
TB 408,55,(blank):55,False,0.0,0.0,0.0,0.0,0.0,0,0,125.93733999999999,0.0
TB 501,130,(blank):20; C:110,True,0.0,0.0,0.0,0.0,0.0,0,0,74.717599,0.0
TB 507,24,(blank):4; Ready:20,True,0.425,0.0,-0.425,0.0,0.425,0,1,1.2530000000000001,0.425
