Project,Valid spans,Scope km,Sheet completed km,Sheet ready km,Sheet ready spans,Tower ready current km,Tower ready same completion km,Erection gap same completion km,Tight NS same completion km,Tight partial same completion km,No loc valid km
TA 413,31,82.98911700000001,77.18923600000001,0.0,0,5.799880999999999,5.799880999999999,0.0,0.0,0.0,82.98911700000001
TA 414,172,127.79269839999999,15.943031999999999,30.701085,37,44.2702745,41.0073485,70.8423179,0.0,0.0,34.3822929
TA 416,74,113.697745,109.668095,4.02965,7,2.4785000000000004,4.02965,0.113697745,0.0,0.0,0.0
TA 418,39,47.836515,23.277504999999998,16.45446,19,3.24695,4.18107,14.363426515,0.0,6.0623499999999995,0.0
TA 421,59,121.24455299999998,115.118863,6.1256900000000005,9,4.48169,4.48169,43.743,0.248,1.396,0.0
TA 504,53,62.49985100000001,13.421757000000001,17.815841,9,10.676271,17.815841,26.335063999999996,4.495191,0.431998,0.0
TA 505,12,23.400000000000002,14.006,9.394,3,8.164,9.394,0.023399999999999997,0.0,0.0,23.400000000000002
TA 506,36,58.677369000000006,55.632187,3.0451819999999996,3,2.040002,3.0451819999999996,0.05867736900000001,0.0,0.0,58.677369000000006
TB 408,52,125.81534,125.81534,0.0,0,0.0,0.0,0.0,0.0,0.0,125.81534
TB 501,114,71.103862,69.08311200000001,2.02075,7,0.0,0.0,3.15927,1.05,0.0,71.103862
TB 507,20,21.785,21.36,0.425,1,0.0,0.0,0.0,0.425,0.0,1.2530000000000001
